本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
世の中を笑ふか泣か年男,-32.746124,0.000024080276489257812,0.9999997019767761,年男,新年,,1,笑ふ,3,"世の中, 泣, 年男",17,7,世の中を悟らずもがな蟇,7,世の中を浅き心や浅黄蝶,7,世の中を笑ふてくらす彼岸哉
病人の目鼻も知らず年男,-32.74754,0.9782229065895081,0.9999997019767761,年男,新年,,1,知ら,3,"病人, 目鼻, 年男",17,7,韓国の音やも知れず松林,7,何神の森とも知らず花辛夷,7,沼底の濁りは知らず恋雀
剃刀に亀の跳ねたる年男,-32.75504,0.9773486256599426,0.9999997019767761,年男,新年,,0,,4,"剃刀, 亀, 跳ね, 年男",17,6,松明に導かれたる年男,7,頸筋に風の立ちたる蒸鰈,7,物置に鹿のいねたる嵐かな
年男くづれる海の匂ひかな,-32.758354,0.6279001235961914,0.9999997019767761,年男,新年,かな,2,"くづれる, 匂ひ",2,"年男, 海",17,6,冬眠の始まる土の匂ひかな,6,風吹くと冬菜畑の匂ひかな,6,膝低く坐れる媼の夜長かな
年男郵便局や通過駅,-32.76188,0.41819483041763306,0.9999995827674866,年男,新年,や,0,,5,"年男, 郵便, 局, 通過, 駅",17,6,初燕郵便局を通り抜け,6,昼灯す郵便局や雁木中,7,柴垣に郵便受や秋の村
草庵に膝そろへたる年男,-32.763626,0.9864569306373596,0.9999997019767761,年男,新年,,2,"そろ, へたる",3,"草庵, 膝, 年男",17,6,松明に導かれたる年男,7,草の戸や畳かへたる夏祓,7,鳥雲に舳そろへし舫ひ船
天下茶屋目細鳴きして年男,-32.76428,0.9890794157981873,0.9999997019767761,年男,新年,,2,"鳴き, し",4,"天下, 茶屋, 目細, 年男",17,8,天下茶屋蝿取紙の新しく,8,携帯のるるる鳴きして,9,寶石を胸に碎きし青年よ
年男脚絆の上で並びけり,-32.77,0.7353492975234985,0.9999997019767761,年男,新年,けり,0,,5,"年男, 脚絆, 上, 並び, けり",17,6,夷講出入の鳩も並びけり,7,春の風硯の水に及びけり,7,年忘噂の主も参じけり
齢のほど思ひつめたる年男,-32.770943,0.0007673501968383789,0.9999997019767761,年男,新年,,1,思ひつめ,3,"齢, ほど, 年男",17,7,逝く秋や思ひつめたる水の色,7,夏痩の思ひつめたる命かな,8,藻汐草かきあつめたる霰哉
村童のあつまつてゆく年男,-32.773705,0.9830479621887207,0.9999997019767761,年男,新年,,1,ゆく,2,"村童, 年男",17,7,山水のたたまれてゆく秋扇,7,大寒の人あつまつて別れけり,7,雨雲のあつまつてくる燕子花
父ありて懸想文買ふ年男,-32.777306,0.9930768013000488,0.9999997019767761,年男,新年,,2,"父あり, 買ふ",4,"父, 懸想, 文, 年男",17,8,疫ありて燈籠多き小村哉,8,柿ありて又罪作る冬籠,8,窓ありて水美しき初茜
街道や百姓の子の年男,-32.78205,0.9736253023147583,0.9999996423721313,年男,新年,や,0,,4,"街道, 百姓, 子, 年男",17,5,麦秋や百姓の子の村芝居,5,新涼や百姓の子の東京に,6,朧夜や百姓の子の笛を吹く
年男出てかなしみを胸に抱く,-32.79193,0.8533709645271301,0.9999997019767761,年男,新年,,2,"出, 抱く",3,"年男, かなしみ, 胸",17,8,人にあるかなしみの時桜咲く,9,水澄めりほろびぬ恋を胸に抱く,9,寒林を出てかなしみのいつかなし
鎮魂の色を深めて年男,-32.803272,0.9727985858917236,0.9999997019767761,年男,新年,,1,深め,3,"鎮魂, 色, 年男",17,5,一門の人を集めて年忘,6,蝮草闇を深めて男坂,6,裏窓の涙を溜めて年移る
年男まつくらがりの一路かな,-32.82351,0.9597018361091614,0.9999997019767761,年男,新年,かな,1,まつ,3,"年男, くらがり, 一路",17,5,簗番のまつくらがりの夜食かな,5,流燈の沖くらがりの冥路かな,6,海豚哭くまつくらがりの港かな
それぞれの部屋に女に年男,-32.82778,0.8939800262451172,0.9999995827674866,年男,新年,,0,,4,"それぞれ, 部屋, 女, 年男",17,7,それぞれの器に分つ蛙の子,7,それぞれの聲稲の露芋の露,7,それぞれの家の貌もつ雪囲
出土せる米寿の母の年男,-32.82806,0.971461832523346,0.9999997019767761,年男,新年,,1,出土せ,4,"出土, 米寿, 母, 年男",17,5,光つてる米寿の母の薬指,7,出土せる亀形石や竹落葉,7,稲の花卒寿の母の泪壷
半鐘を打ち置かれたる年男,-32.84309,0.9833428263664246,0.9999997019767761,年男,新年,,2,"打ち, 置か",2,"半鐘, 年男",17,6,松明に導かれたる年男,7,門畑や打ちつ馴れたる鍬初,8,片足を船にかけたる薄衣
一日を父の書斎に年男,-32.855915,0.9843829274177551,0.9999995231628418,年男,新年,,0,,5,"一, 日, 父, 書斎, 年男",17,7,一燈を谷の奈落に夜の蝉,7,一本の杖の行手に夕霞,7,一番機翼の下に冬茜
苗売にことづてありぬ年男,-32.857388,0.988122284412384,0.9999997019767761,年男,新年,,1,ことづてあり,3,"苗, ことづて, 年男",17,5,凧母にことづてありにけり,7,門松にこぼれてありぬ龍の玉,7,昔男にふところありぬ白絣
年男次第にのびて母の家,-32.85791,0.8947064876556396,0.9999868273735046,年男,新年,,1,のび,4,"年男, 次第, 母, 家",17,7,囀の一樹に足りて母の墓,7,春寒や心に詫びて塚の前,7,暖かや汀にのびし草の蔓
ひともとの道をとほりて年男,-32.87703,0.9834562540054321,0.9999997019767761,年男,新年,,1,とほり,4,"ひと, もと, 道, 年男",17,8,大沼の端をとほりぬ未草,8,ひともとの櫻に佇てば濤の音,8,ひともとの梅に立ち寄る寒詣
年男ひとりひとりに目を病めり,-32.878635,0.8116174340248108,0.9999996423721313,年男,新年,,1,病め,3,"年男, ひとりひとり, 目",17,7,大勢にひとりひとりに雪降れり,8,寒雀ひともひとりの顔を出す,8,汐騒のひとりひとりに佛生会
世の中に恥かしがるよ年男,-32.88719,0.9890379905700684,0.999999463558197,年男,新年,,0,,2,"世の中, 年男",17,7,松明に導かれたる年男,7,世の中の秋か行くそよ都人,8,酒のんで秋淋しがる一人哉
年男肩すべり込む火縄銃,-32.895237,0.9723851680755615,0.9999995827674866,年男,新年,,1,すべり込む,4,"年男, 肩, 火縄, 銃",17,8,物置や柳散り込む炭俵,8,篁に降り込む霰山始,8,日盛の銃口暗き火縄銃
大杉の根に躍りたる年男,-32.89595,0.9778334498405457,0.9999997019767761,年男,新年,,1,躍り,3,"大杉, 根, 年男",17,6,大風の空にごりたる霞かな,6,酒酔の連になりたる寒哉,7,能面の唇に塗りたし鳥兜
街道を馬の見て行く年男,-32.908142,0.08704245090484619,0.9999996423721313,行く年,仲冬,,2,"見, 行く",3,"街道, 馬, 年男",17,7,畦道を鴉のあるく祭笛,8,街中を紺の矢車草一束,8,街道を尻に稻こく女かな
山の音松籟を聞く年男,-32.91662,0.9881550073623657,0.9999997019767761,年男,新年,,1,聞く,4,"山, 音, 松籟, 年男",17,6,唐崎の初松籟を聞くべかり,7,山の池底なしと聞く未草,7,波の音教室を占め夏休
集まりて胸の高さの年男,-32.92159,0.777829110622406,0.9999997019767761,年男,新年,,1,集まり,2,"胸, 年男",17,7,門を出て星の高さや初詣,7,日盛りや絹の薄さの鉋屑,7,かしこまる腰の高さよ年男
一心に背を並べたる年男,-32.939396,0.988338828086853,0.9999996423721313,年男,新年,,1,並べ,3,"一心, 背, 年男",17,6,松明に導かれたる年男,7,錦繍に身を包みたる熱哉,7,一枚に海を展べたる薄暑かな
鏡台の端に肱つく年男,-32.942356,0.9840737581253052,0.9999997019767761,年男,新年,,1,つく,4,"鏡台, 端, 肱, 年男",17,5,鏡台の端にひとつぶ年の豆,6,山吹の中に米つく女哉,6,洗場の鍋に蜷つく春鄰
臆病な天窓あけて年男,-32.949627,0.9856154322624207,0.9999996423721313,年男,新年,,1,あけ,3,"臆病, 天窓, 年男",17,7,髪のない天窓並べて星迎,8,泡を読む天窓あかり寒造,8,厄祭浦々かけて遅桜
傾城に業を継ぎたる年男,-32.95711,0.9794025421142578,0.9999997019767761,年男,新年,,1,継ぎ,3,"傾城, 業, 年男",17,6,松明に導かれたる年男,7,夜長し父を継ぎたる農日誌,7,河骨に衣をぬぎたる蜻蜒哉
年男一人旅行く荷物かな,-32.964336,0.7746366858482361,0.9999996423721313,年男,新年,かな,1,旅行く,4,"年男, 一人, 旅, 荷物",17,7,寺町は東側行く花見かな,7,一鐵一袈裟行李安居かな,7,溝川の澄で行く中蛙かな
年男たるを忘れて山を出づ,-32.967384,0.9917545914649963,0.9999997019767761,年男,新年,,2,"忘れ, 出",4,"年男, たる, 山, づ",17,7,寒の月白炎曳いて山を出づ,7,早蕨や水は唄ひて山を出づ,8,色街に老を忘れて白上布
年男まぎれなしとも見えざりし,-32.968346,0.9853014945983887,0.9999997019767761,年男,新年,,2,"まぎれ, 見え",1,年男,17,8,大柳ちり盡すとも見えざりき,8,冬の山人通ふとも見えざりき,9,携へて時雨傘ともならざりし
二人して芝を踏み行く年男,-32.969894,0.9906496405601501,0.9999997019767761,行く年,仲冬,,3,"二人し, 踏み, 行く",3,"二人, 芝, 年男",17,7,二人して児を見せにくる柏餅,8,二人して秋の七草諳んじる,8,天高し夢に梢を踏み歩く
曲り家の鋸屑掃いて年男,-32.977303,0.9825665354728699,0.9999997019767761,年男,新年,,1,掃い,3,"曲り家, 鋸屑, 年男",17,7,曲り家の一夜泊りの薬喰,8,曲り角ひとつ違ひて灸花,8,追儺会の昼酒に酔ふ年男
年男泣き出しさうな歩きかな,-32.978558,0.9489212036132812,0.9999997019767761,年男,新年,かな,3,"泣き, 出し, 歩き",1,年男,17,7,夕顔の音のしさうな蕾かな,8,此風が吹き出しさうな雲の峯,8,鶏のかき出したる茸かな
年男一人の閑を守りをり,-32.982555,0.9827278256416321,0.9999997019767761,年男,新年,,0,,4,"年男, 一人, 閑, 守り",17,5,大蛞蝓一茶の墓を守りをり,6,年忘一斗の酒を盡しけり,6,夏柳男の頬を嬲りをり
年男国栖の翁の指南かな,-32.99913,0.9851252436637878,0.9999997019767761,年男,新年,かな,0,,4,"年男, 国栖, 翁, 指南",17,6,鬚白き竹の翁の昼寝かな,6,髭白き竹の翁の昼寝かな,7,尼寺の畳の上の蚕かな
娘には子の生まれたる年男,-33.003,0.9800115823745728,0.9999995827674866,年男,新年,,1,生まれ,3,"娘, 子, 年男",17,7,松明に導かれたる年男,7,古稀過ぎの貌煤けたる年男,8,松蝉の声の嗄れたる花祭
年男うしろ姿の穴に入,-33.004036,0.8261985182762146,0.9999997019767761,年男,新年,,0,,4,"年男, うしろ姿, 穴, 入",17,6,無縁坂うしろ姿の秋日傘,6,傾城はうしろ姿の寒さ哉,6,一本はうしろ姿の冬木立
東京に会ふ人もなし年男,-33.034195,0.9922623634338379,0.9999996423721313,年男,新年,,1,会ふ,4,"東京, 人, なし, 年男",17,7,晴天に暮てまもなし朧月,7,長崎に唐物もなし年の市,7,袂には鼻紙もなし更衣
山門の石倒したる年男,-33.044525,0.9830814003944397,0.9999997019767761,年男,新年,,0,,3,"山門, 石, 年男",17,6,白鷺の一喝したる冬茜,6,初雁の盛鹽したる車寄,6,蟷螂の取逃したる螽哉
勝馬を尻にかけたる年男,-33.04834,0.7599987983703613,0.9999997019767761,年男,新年,,1,かけ,3,"勝馬, 尻, 年男",17,5,片足を船にかけたる薄衣,6,生涯を恋にかけたる桜かな,6,松明に導かれたる年男
年男妻小さくなりて笑ふなり,-33.049,0.9936041831970215,0.9999997019767761,年男,新年,,2,"なり, 笑ふ",2,"年男, 妻",17,7,噴水の小さくなりて水の音,7,主持の小さくなりて冬籠,7,食小さくなりて健か冬籠
年男老いて念力弱りたる,-33.061222,0.989500105381012,0.9999996423721313,年男,新年,,2,"老い, 弱り",2,"年男, 念力",17,7,山男老いては集ふ泉あり,7,年男鬼の顔して戻り来る,7,弟も老いて無事なり秋祭
年男水通るやと問はれけり,-33.06546,0.9825523495674133,0.9999997019767761,年男,新年,けり,2,"通る, 問は",3,"年男, 水, けり",17,7,雁瘡と言ひ治るかと問はれけり,7,皹の胼の薬も問はれけり,7,年用意竹青々と切られけり
風呂敷を黒締めにして年男,-33.067593,0.9887667298316956,0.9999996423721313,年男,新年,,1,し,4,"風呂敷, 黒, 締め, 年男",17,8,口ぢうを金粉にして落椿,8,惜春の妻を黒白にして撮す,8,飯櫃を影干しにして山桜
乞食子や足洗ひ居る年男,-33.07501,0.9892981052398682,0.9999997019767761,年男,新年,や,2,"洗ひ, 居る",3,"乞食, 足, 年男",17,7,元日や手を洗ひ居る夕心,7,乞食子や貰ひながらの凧,7,乞食子や歩ながらの凧
年男さらしだまつて歩く也,-33.0777,0.9732993841171265,0.9999997019767761,年男,新年,,1,歩く,2,"年男, さらし",17,8,大組の迹やだまつて帰る雁,8,二三尺迄はだまつて舞雲雀,8,馬牛の市しづまりて鳴く蛙
逆立ちの子の妻となる年男,-33.079926,0.9573111534118652,0.9999997019767761,年男,新年,,1,なる,4,"逆立ち, 子, 妻, 年男",17,7,逆立ちの足の重たき土用入,7,葩餅長子の嫁となる人や,7,一睡の夢のあとなる秋簾
